[REJECTED] 1712716296886696720 ('DLO', <Side.SELL: 2>)
1712716366750459342 ('IGM', <Side.BUY: 1>) 9 5053 4
1712716366750459343 ('BRV', <Side.BUY: 1>) 1 4916 6
1712716366750459340 ('DLO', <Side.BUY: 1>) 1 4872 0
1712716366750459369 ('BRV', <Side.SELL: 2>) 2 4954 0
1712716366750459357 ('MKU', <Side.SELL: 2>) 2 4924 0
1712716366750459344 ('EPT', <Side.BUY: 1>) 2 4856 0
1712716366750459363 ('IGM', <Side.SELL: 2>) 2 5087 0
1712716366750459359 ('MKU', <Side.SELL: 2>) 2 4944 0
1712716366750459365 ('IGM', <Side.SELL: 2>) 2 5107 0
[CANCELLED] 1712716366750459345 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459346 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459347 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459348 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459349 ('EPT', <Side.SELL: 2>)
1712716366750459370 ('EPT', <Side.BUY: 1>) 1 4844 18
[CANCELLED] 1712716366750459350 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459351 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459352 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459353 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459354 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459355 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459356 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459358 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459360 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459361 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459362 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459364 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459366 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459367 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459368 ('BRV', <Side.BUY: 1>)
1712716366750459388 ('MKU', <Side.SELL: 2>) 2 4951 -25
1712716366750459390 ('MKU', <Side.SELL: 2>) 2 4951 -5
1712716366750459375 ('EPT', <Side.BUY: 1>) 2 4842 0
1712716366750459394 ('IGM', <Side.SELL: 2>) 2 5123 -40
1712716366750459396 ('IGM', <Side.SELL: 2>) 2 5123 -20
1712716366750459398 ('IGM', <Side.SELL: 2>) 2 5123 0
1712716366750459400 ('BRV', <Side.SELL: 2>) 2 5038 -65
1712716366750459402 ('BRV', <Side.SELL: 2>) 2 5038 -45
1712716366750459392 ('MKU', <Side.SELL: 2>) 2 4966 0
1712716366750459382 ('DLO', <Side.SELL: 2>) 2 4897 0
[CANCELLED] 1712716366750459376 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459377 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459378 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459379 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459380 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459371 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459381 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459383 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459384 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459385 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459386 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459372 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459387 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459389 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459391 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459373 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459393 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459395 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459397 ('IGM', <Side.BUY: 1>)
1712716366750459406 ('IGM', <Side.BUY: 1>) 9 5101 16
[CANCELLED] 1712716366750459374 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459399 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459401 ('BRV', <Side.BUY: 1>)
1712716366750459421 ('MKU', <Side.SELL: 2>) 2 5008 -26
1712716366750459423 ('MKU', <Side.SELL: 2>) 2 5008 -6
1712716366750459425 ('MKU', <Side.SELL: 2>) 2 5022 0
1712716366750459415 ('DLO', <Side.SELL: 2>) 2 4915 0
1712716366750459427 ('IGM', <Side.SELL: 2>) 2 5152 0
[CANCELLED] 1712716366750459403 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459408 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459409 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459410 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459411 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459412 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459413 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459404 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459414 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459416 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459417 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459418 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459419 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459405 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459420 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459422 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459424 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459426 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459428 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459429 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459430 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459407 ('BRV', <Side.BUY: 1>)
1712716366750459434 ('IGM', <Side.BUY: 1>) 9 5154 0
1712716366750459432 ('DLO', <Side.BUY: 1>) 1 4928 0
1712716366750459454 ('IGM', <Side.BUY: 1>) 2 5134 0
1712716366750459449 ('MKU', <Side.SELL: 2>) 2 5096 0
1712716366750459461 ('BRV', <Side.SELL: 2>) 2 5226 0
1712716366750459463 ('BRV', <Side.SELL: 2>) 2 5246 0
1712716366750459451 ('MKU', <Side.SELL: 2>) 2 5116 0
1712716366750459443 ('DLO', <Side.SELL: 2>) 2 4954 0
1712716366750459465 ('BRV', <Side.SELL: 2>) 2 5266 0
1712716366750459453 ('MKU', <Side.SELL: 2>) 2 5136 0
1712716366750459431 ('EPT', <Side.BUY: 1>) 1 4837 0
[CANCELLED] 1712716366750459436 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459437 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459438 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459439 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459440 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459441 ('EPT', <Side.SELL: 2>)
1712716366750459466 ('EPT', <Side.BUY: 1>) 1 4828 21
[CANCELLED] 1712716366750459442 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459444 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459445 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459446 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459447 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459433 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459448 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459450 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459452 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459455 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459456 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459457 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459458 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459459 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459435 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459460 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459462 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459464 ('BRV', <Side.BUY: 1>)
1712716366750459471 ('EPT', <Side.BUY: 1>) 2 4828 1
1712716366750459484 ('MKU', <Side.SELL: 2>) 2 5153 -38
1712716366750459486 ('MKU', <Side.SELL: 2>) 2 5153 -18
1712716366750459490 ('IGM', <Side.SELL: 2>) 2 5176 -17
1712716366750459488 ('MKU', <Side.SELL: 2>) 2 5155 0
1712716366750459478 ('DLO', <Side.SELL: 2>) 2 4973 0
1712716366750459492 ('IGM', <Side.SELL: 2>) 2 5179 0
1712716366750459494 ('IGM', <Side.SELL: 2>) 2 5199 0
[CANCELLED] 1712716366750459472 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459473 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459474 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459475 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459476 ('EPT', <Side.SELL: 2>)
1712716366750459496 ('EPT', <Side.BUY: 1>) 1 4819 1
[CANCELLED] 1712716366750459467 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459477 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459479 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459480 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459481 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459482 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459468 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459483 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459485 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459487 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459469 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459489 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459491 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459493 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459470 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459495 ('BRV', <Side.BUY: 1>)
1712716366750459526 ('BRV', <Side.SELL: 2>) 2 5382 -3
1712716366750459501 ('EPT', <Side.BUY: 1>) 2 4800 0
1712716366750459528 ('BRV', <Side.SELL: 2>) 2 5399 0
1712716366750459520 ('IGM', <Side.SELL: 2>) 2 5234 0
1712716366750459530 ('BRV', <Side.SELL: 2>) 2 5419 0
1712716366750459522 ('IGM', <Side.SELL: 2>) 2 5254 0
1712716366750459514 ('MKU', <Side.SELL: 2>) 2 5201 0
1712716366750459503 ('EPT', <Side.BUY: 1>) 2 4780 0
1712716366750459524 ('IGM', <Side.SELL: 2>) 2 5274 0
1712716366750459516 ('MKU', <Side.SELL: 2>) 2 5221 0
[CANCELLED] 1712716366750459502 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459504 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459505 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459506 ('EPT', <Side.SELL: 2>)
1712716366750459531 ('EPT', <Side.BUY: 1>) 1 4762 8
[CANCELLED] 1712716366750459497 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459507 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459508 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459509 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459510 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459511 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459512 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459498 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459513 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459515 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459517 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459518 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459499 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459519 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459521 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459523 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459500 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459525 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459527 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459529 ('BRV', <Side.BUY: 1>)
1712716366750459555 ('IGM', <Side.SELL: 2>) 2 5302 -3
1712716366750459561 ('BRV', <Side.SELL: 2>) 2 5500 -30
1712716366750459549 ('MKU', <Side.SELL: 2>) 2 5232 0
1712716366750459543 ('DLO', <Side.SELL: 2>) 2 5034 0
1712716366750459551 ('MKU', <Side.SELL: 2>) 2 5252 0
[CANCELLED] 1712716366750459536 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459537 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459538 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459539 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459540 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459541 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459532 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459542 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459544 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459545 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459546 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459547 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459533 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459548 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459550 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459552 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459553 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459534 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459554 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459556 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459557 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459558 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459559 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459535 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459560 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459562 ('BRV', <Side.BUY: 1>)
1712716366750459587 ('IGM', <Side.SELL: 2>) 2 5330 0
1712716366750459563 ('EPT', <Side.BUY: 1>) 1 4751 0
1712716366750459589 ('IGM', <Side.SELL: 2>) 2 5350 0
1712716366750459568 ('EPT', <Side.BUY: 1>) 2 4731 0
1712716366750459565 ('MKU', <Side.BUY: 1>) 1 5235 0
1712716366750459591 ('IGM', <Side.SELL: 2>) 2 5370 0
[CANCELLED] 1712716366750459569 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459570 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459571 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459572 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459573 ('EPT', <Side.SELL: 2>)
1712716366750459593 ('EPT', <Side.BUY: 1>) 1 4716 46
[CANCELLED] 1712716366750459564 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459574 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459575 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459576 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459577 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459578 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459579 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459580 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459581 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459582 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459583 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459584 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459585 ('MKU', <Side.SELL: 2>)
1712716366750459595 ('MKU', <Side.BUY: 1>) 1 5235 14
[CANCELLED] 1712716366750459566 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459586 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459588 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459590 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459567 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459592 ('BRV', <Side.BUY: 1>)
1712716366750459598 ('EPT', <Side.BUY: 1>) 2 4716 26
1712716366750459600 ('EPT', <Side.BUY: 1>) 2 4716 6
1712716366750459617 ('IGM', <Side.SELL: 2>) 2 5378 -46
1712716366750459619 ('IGM', <Side.SELL: 2>) 2 5378 -26
1712716366750459594 ('DLO', <Side.BUY: 1>) 1 5044 0
1712716366750459602 ('EPT', <Side.BUY: 1>) 2 4702 0
1712716366750459610 ('MKU', <Side.BUY: 1>) 2 5229 0
[CANCELLED] 1712716366750459599 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459601 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459603 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459604 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459605 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459606 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459607 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459608 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459609 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459611 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459612 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459613 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459614 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459615 ('MKU', <Side.SELL: 2>)
1712716366750459623 ('MKU', <Side.BUY: 1>) 1 5222 10
[CANCELLED] 1712716366750459596 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459616 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459618 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459620 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459597 ('BRV', <Side.BUY: 1>)
1712716366750459625 ('BRV', <Side.BUY: 1>) 1 5538 15
1712716366750459622 ('DLO', <Side.BUY: 1>) 1 5031 0
1712716366750459624 ('IGM', <Side.BUY: 1>) 10 5439 0
1712716366750459650 ('BRV', <Side.BUY: 1>) 2 5533 0
1712716366750459644 ('IGM', <Side.BUY: 1>) 2 5419 0
1712716366750459646 ('IGM', <Side.BUY: 1>) 2 5399 0
1712716366750459652 ('BRV', <Side.BUY: 1>) 2 5513 0
[CANCELLED] 1712716366750459621 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459626 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459627 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459628 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459629 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459630 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459631 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459632 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459633 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459634 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459635 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459636 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459637 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459638 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459639 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459640 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459641 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459642 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459643 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459645 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459647 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459648 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459649 ('IGM', <Side.SELL: 2>)
1712716366750459659 ('IGM', <Side.BUY: 1>) 9 5394 9
[CANCELLED] 1712716366750459651 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750459653 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750459654 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750459655 ('BRV', <Side.SELL: 2>)
1712716366750459656 ('EPT', <Side.BUY: 1>) 1 4696 0
1712716366750459679 ('IGM', <Side.BUY: 1>) 2 5383 0
1712716366750459660 ('BRV', <Side.BUY: 1>) 1 5514 0
1712716366750459658 ('MKU', <Side.BUY: 1>) 1 5213 0
1712716366750459657 ('DLO', <Side.BUY: 1>) 1 5020 0
[CANCELLED] 1712716366750459661 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459662 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459663 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459664 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459665 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459666 ('EPT', <Side.SELL: 2>)
1712716366750459686 ('EPT', <Side.BUY: 1>) 1 4683 11
[CANCELLED] 1712716366750459667 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459668 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459669 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459670 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459671 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459672 ('DLO', <Side.SELL: 2>)
1712716366750459687 ('DLO', <Side.BUY: 1>) 1 5007 14
[CANCELLED] 1712716366750459673 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459674 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459675 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459676 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459677 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459678 ('MKU', <Side.SELL: 2>)
1712716366750459688 ('MKU', <Side.BUY: 1>) 1 5197 17
[CANCELLED] 1712716366750459680 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459681 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459682 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459683 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459684 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459685 ('BRV', <Side.BUY: 1>)
1712716366750459690 ('BRV', <Side.BUY: 1>) 1 5496 19
1712716366750459703 ('MKU', <Side.BUY: 1>) 2 5194 0
1712716366750459715 ('BRV', <Side.BUY: 1>) 2 5482 13
1712716366750459697 ('DLO', <Side.BUY: 1>) 2 5001 0
1712716366750459717 ('BRV', <Side.BUY: 1>) 2 5475 0
1712716366750459705 ('MKU', <Side.BUY: 1>) 2 5174 0
1712716366750459689 ('IGM', <Side.BUY: 1>) 7 5374 0
1712716366750459719 ('BRV', <Side.BUY: 1>) 2 5455 0
1712716366750459691 ('EPT', <Side.BUY: 1>) 2 4674 0
[CANCELLED] 1712716366750459692 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459693 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459694 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459695 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459696 ('EPT', <Side.SELL: 2>)
1712716366750459720 ('EPT', <Side.BUY: 1>) 1 4669 5
[CANCELLED] 1712716366750459698 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459699 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459700 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459701 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459702 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459704 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459706 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459707 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750459708 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750459709 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459710 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459711 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459712 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459713 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750459714 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750459716 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750459718 ('BRV', <Side.SELL: 2>)
1712716366750459723 ('IGM', <Side.BUY: 1>) 7 5378 0
1712716366750459743 ('IGM', <Side.BUY: 1>) 2 5358 0
1712716366750459738 ('MKU', <Side.SELL: 2>) 2 5211 0
[CANCELLED] 1712716366750459725 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459726 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459727 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459728 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459729 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750459730 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750459721 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459731 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750459732 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750459733 ('DLO', <Side.BUY: 1>)
