[CANCELLED] 1712713202569285888 ('EPT', <Side.BUY: 1>)
1712713214515792060 ('MKU', <Side.BUY: 1>) 2 5128 3
1712713214515792046 ('IGM', <Side.BUY: 1>) 1 5722 0
1712713214515792049 ('EPT', <Side.SELL: 2>) 2 4700 0
1712713214515792051 ('EPT', <Side.SELL: 2>) 2 4720 0
1712713214515792054 ('DLO', <Side.BUY: 1>) 2 4980 0
[CANCELLED] 1712713214515792043 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792048 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792050 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792052 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792053 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792055 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792056 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792057 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792058 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792059 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792061 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515792062 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792063 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515792064 ('MKU', <Side.BUY: 1>)
1712713214515792068 ('IGM', <Side.BUY: 1>) 1 5640 73
1712713214515792071 ('EPT', <Side.SELL: 2>) 2 4704 -7
1712713214515792069 ('BRV', <Side.BUY: 1>) 1 5357 0
1712713214515792067 ('MKU', <Side.BUY: 1>) 1 5117 0
1712713214515792066 ('DLO', <Side.BUY: 1>) 1 4981 0
[CANCELLED] 1712713214515792065 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792070 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792072 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792073 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792074 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792075 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792076 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792077 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792078 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792079 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792080 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792081 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792082 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792083 ('MKU', <Side.SELL: 2>)
1712713214515792090 ('EPT', <Side.SELL: 2>) 2 4737 0
1712713214515792087 ('IGM', <Side.BUY: 1>) 1 5627 0
[CANCELLED] 1712713214515792084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792089 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792091 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792092 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792093 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792094 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792085 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792086 ('MKU', <Side.BUY: 1>)
1712713214515792098 ('IGM', <Side.BUY: 1>) 1 5614 29
[CANCELLED] 1712713214515792088 ('BRV', <Side.BUY: 1>)
1712713214515792101 ('EPT', <Side.SELL: 2>) 2 4751 -15
1712713214515792103 ('EPT', <Side.SELL: 2>) 2 4756 0
[CANCELLED] 1712713214515792095 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792100 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792102 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792104 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792105 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792096 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792106 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792107 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792097 ('MKU', <Side.BUY: 1>)
1712713214515792111 ('IGM', <Side.BUY: 1>) 1 5612 39
[CANCELLED] 1712713214515792099 ('BRV', <Side.BUY: 1>)
1712713214515792114 ('EPT', <Side.SELL: 2>) 2 4752 -7
1712713214515792120 ('DLO', <Side.SELL: 2>) 2 5013 0
[CANCELLED] 1712713214515792108 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792113 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792115 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792116 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792117 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792118 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792109 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792119 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792121 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792122 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792123 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792110 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515792112 ('BRV', <Side.BUY: 1>)
1712713214515792126 ('MKU', <Side.BUY: 1>) 1 5150 0
1712713214515792125 ('DLO', <Side.BUY: 1>) 1 4986 0
[CANCELLED] 1712713214515792124 ('EPT', <Side.BUY: 1>)
1712713214515792128 ('DLO', <Side.BUY: 1>) 1 4965 31
1712713214515792129 ('MKU', <Side.BUY: 1>) 1 5135 21
1712713214515792130 ('IGM', <Side.BUY: 1>) 1 5517 72
1712713214515792131 ('BRV', <Side.BUY: 1>) 1 5295 48
1712713214515792138 ('DLO', <Side.BUY: 1>) 2 4965 11
[CANCELLED] 1712713214515792127 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792132 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792133 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792134 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792135 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792136 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792137 ('EPT', <Side.SELL: 2>)
1712713214515792140 ('DLO', <Side.BUY: 1>) 1 4954 33
1712713214515792141 ('MKU', <Side.BUY: 1>) 1 5113 28
1712713214515792142 ('IGM', <Side.BUY: 1>) 1 5507 92
1712713214515792143 ('BRV', <Side.BUY: 1>) 1 5275 62
1712713214515792150 ('DLO', <Side.BUY: 1>) 2 4954 13
1712713214515792145 ('EPT', <Side.SELL: 2>) 2 4785 0
1712713214515792147 ('EPT', <Side.SELL: 2>) 2 4805 0
1712713214515792149 ('EPT', <Side.SELL: 2>) 2 4825 0
[CANCELLED] 1712713214515792139 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792144 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792146 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792148 ('EPT', <Side.BUY: 1>)
1712713214515792152 ('DLO', <Side.BUY: 1>) 1 4948 58
[CANCELLED] 1712713214515792151 ('EPT', <Side.BUY: 1>)
1712713214515792154 ('DLO', <Side.BUY: 1>) 1 4936 26
1712713214515792156 ('IGM', <Side.BUY: 1>) 1 5405 159
1712713214515792157 ('BRV', <Side.BUY: 1>) 1 5259 41
1712713214515792159 ('EPT', <Side.SELL: 2>) 2 4837 -44
1712713214515792161 ('EPT', <Side.SELL: 2>) 2 4837 -24
1712713214515792163 ('EPT', <Side.SELL: 2>) 2 4837 -4
1712713214515792164 ('DLO', <Side.BUY: 1>) 2 4942 0
[CANCELLED] 1712713214515792153 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792158 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792160 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792162 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792165 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792166 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792167 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515792155 ('MKU', <Side.BUY: 1>)
1712713214515792171 ('IGM', <Side.BUY: 1>) 1 5342 196
1712713214515792172 ('BRV', <Side.BUY: 1>) 1 5274 0
1712713214515792169 ('DLO', <Side.BUY: 1>) 1 4930 0
[CANCELLED] 1712713214515792168 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792173 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792170 ('MKU', <Side.BUY: 1>)
1712713214515792177 ('IGM', <Side.BUY: 1>) 1 5375 111
1712713214515792178 ('BRV', <Side.BUY: 1>) 1 5280 6
1712713214515792180 ('EPT', <Side.SELL: 2>) 2 4916 -103
1712713214515792182 ('EPT', <Side.SELL: 2>) 2 4916 -83
1712713214515792184 ('EPT', <Side.SELL: 2>) 2 4916 -63
1712713214515792175 ('DLO', <Side.BUY: 1>) 1 4946 0
1712713214515792185 ('DLO', <Side.BUY: 1>) 2 4926 0
[CANCELLED] 1712713214515792174 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792179 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792181 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792183 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792186 ('DLO', <Side.SELL: 2>)
1712713214515792188 ('DLO', <Side.BUY: 1>) 1 4929 6
[CANCELLED] 1712713214515792176 ('MKU', <Side.BUY: 1>)
1712713214515792191 ('BRV', <Side.BUY: 1>) 1 5243 0
1712713214515792193 ('EPT', <Side.SELL: 2>) 2 4879 0
1712713214515792189 ('MKU', <Side.BUY: 1>) 1 5121 0
1712713214515792190 ('IGM', <Side.BUY: 1>) 1 5412 0
1712713214515792195 ('EPT', <Side.SELL: 2>) 1 4899 0
[CANCELLED] 1712713214515792187 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792192 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792194 ('EPT', <Side.BUY: 1>)
1712713214515792197 ('DLO', <Side.BUY: 1>) 1 4910 17
1712713214515792198 ('MKU', <Side.BUY: 1>) 1 5119 9
1712713214515792199 ('IGM', <Side.BUY: 1>) 1 5375 14
1712713214515792200 ('BRV', <Side.BUY: 1>) 1 5160 92
1712713214515792202 ('EPT', <Side.SELL: 2>) 2 4917 -46
1712713214515792204 ('EPT', <Side.SELL: 2>) 1 4917 -26
[CANCELLED] 1712713214515792196 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792201 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792203 ('EPT', <Side.BUY: 1>)
1712713214515792206 ('DLO', <Side.BUY: 1>) 1 4890 51
1712713214515792207 ('MKU', <Side.BUY: 1>) 1 5098 86
1712713214515792209 ('BRV', <Side.BUY: 1>) 1 5087 188
1712713214515792208 ('IGM', <Side.BUY: 1>) 1 5321 0
[CANCELLED] 1712713214515792205 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792210 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792211 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792212 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792213 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792214 ('EPT', <Side.SELL: 2>)
1712713214515792216 ('DLO', <Side.BUY: 1>) 1 4895 41
[CANCELLED] 1712713214515792215 ('EPT', <Side.BUY: 1>)
1712713214515792218 ('DLO', <Side.BUY: 1>) 1 4904 3
1712713214515792219 ('MKU', <Side.BUY: 1>) 1 5092 31
1712713214515792220 ('IGM', <Side.BUY: 1>) 1 5302 68
1712713214515792221 ('BRV', <Side.BUY: 1>) 1 5089 103
1712713214515792223 ('EPT', <Side.SELL: 2>) 2 4973 -39
[CANCELLED] 1712713214515792217 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792222 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792224 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792225 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792226 ('EPT', <Side.SELL: 2>)
1712713214515792229 ('MKU', <Side.BUY: 1>) 1 5098 8
1712713214515792230 ('IGM', <Side.BUY: 1>) 1 5368 19
1712713214515792231 ('BRV', <Side.BUY: 1>) 1 5136 45
1712713214515792233 ('EPT', <Side.SELL: 2>) 2 4925 -8
[CANCELLED] 1712713214515792227 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792232 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792234 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792235 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792236 ('EPT', <Side.SELL: 2>)
1712713214515792238 ('EPT', <Side.BUY: 1>) 1 4926 21
[CANCELLED] 1712713214515792228 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515792237 ('DLO', <Side.BUY: 1>)
1712713214515792240 ('MKU', <Side.BUY: 1>) 1 5071 30
1712713214515792242 ('BRV', <Side.BUY: 1>) 1 5107 17
1712713214515792243 ('EPT', <Side.BUY: 1>) 2 4927 0
1712713214515792241 ('IGM', <Side.BUY: 1>) 1 5332 0
1712713214515792239 ('DLO', <Side.BUY: 1>) 1 4885 0
[CANCELLED] 1712713214515792244 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515792245 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792246 ('EPT', <Side.SELL: 2>)
1712713214515792247 ('EPT', <Side.BUY: 1>) 1 4950 1
1712713214515792249 ('MKU', <Side.BUY: 1>) 1 5050 0
1712713214515792251 ('BRV', <Side.BUY: 1>) 1 5047 0
1712713214515792250 ('IGM', <Side.BUY: 1>) 1 5322 0
[CANCELLED] 1712713214515792252 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792253 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792248 ('DLO', <Side.BUY: 1>)
1712713214515792256 ('MKU', <Side.BUY: 1>) 1 5053 16
1712713214515792257 ('IGM', <Side.BUY: 1>) 1 5289 1
1712713214515792258 ('BRV', <Side.BUY: 1>) 1 5028 35
1712713214515792255 ('DLO', <Side.BUY: 1>) 1 4882 0
1712713214515792261 ('EPT', <Side.SELL: 2>) 2 5024 0
[CANCELLED] 1712713214515792254 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792259 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792260 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515792262 ('EPT', <Side.BUY: 1>)
