[REJECTED] 1712706515662629632 ('EPT', <Side.BUY: 1>)
1712706593883982339 ('IGM', <Side.BUY: 1>) 1 5576 16
1712706593883982340 ('BRV', <Side.BUY: 1>) 1 4952 49
1712706593883982353 ('MKU', <Side.BUY: 1>) 2 4871 8
1712706593883982365 ('BRV', <Side.BUY: 1>) 2 4952 29
1712706593883982367 ('BRV', <Side.BUY: 1>) 2 4952 9
1712706593883982359 ('IGM', <Side.BUY: 1>) 2 5572 0
1712706593883982361 ('IGM', <Side.BUY: 1>) 2 5552 0
[CANCELLED] 1712706593883982336 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712706593883982341 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712706593883982342 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712706593883982343 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712706593883982344 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712706593883982345 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712706593883982346 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712706593883982347 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712706593883982348 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712706593883982349 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712706593883982350 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712706593883982351 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712706593883982352 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712706593883982354 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712706593883982355 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712706593883982356 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712706593883982357 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712706593883982358 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712706593883982360 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712706593883982362 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712706593883982363 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712706593883982364 ('IGM', <Side.SELL: 2>)
1712706593883982374 ('IGM', <Side.BUY: 1>) 20 5546 27
[CANCELLED] 1712706593883982366 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712706593883982368 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712706593883982369 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712706593883982370 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712706593883982371 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712706593883982372 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712706593883982373 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712706593883982375 ('BRV', <Side.BUY: 1>)
1712706593883982379 ('IGM', <Side.BUY: 1>) 18 5615 8
[REJECTED] 1712706630942373890 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706630942373891 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706630942373896 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706630942373897 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706630942373898 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706630942373900 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706630942373901 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706630942373902 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706630942373903 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706630942373904 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706630942373905 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706630942373906 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706630942373907 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706630942373908 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706630942373909 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706630942373910 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706630942373911 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706630942373912 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706630942373913 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706630942373914 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706630942373915 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706630942373916 ('IGM', <Side.SELL: 2>)
1712706630942373918 ('BRV', <Side.SELL: 2>) 2 5291 -6
[REJECTED] 1712706630942373922 ('BRV', <Side.SELL: 2>)
1712706630942373920 ('BRV', <Side.SELL: 2>) 2 5305 0
[REJECTED] 1712706649207685632 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685633 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685634 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685635 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685636 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685637 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685638 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685639 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685640 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685641 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685642 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685643 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685644 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685645 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685646 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685647 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685648 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685649 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685650 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685651 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685652 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685653 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685654 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685655 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685656 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685657 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685658 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685659 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685660 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685661 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685662 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685663 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685664 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685665 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685666 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685667 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685668 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685669 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685670 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685671 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685672 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685673 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685674 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685675 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685676 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685677 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685678 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685679 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685680 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685681 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685682 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685683 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685684 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685685 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685686 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685687 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685688 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685689 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685690 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685691 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685692 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685693 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685694 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685695 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685696 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685697 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685698 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685699 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685700 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685701 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685702 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685703 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685704 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685705 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685706 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685707 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685708 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685709 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685710 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685711 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685712 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685713 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685714 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685715 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685716 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685717 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685718 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685719 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685720 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685721 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685722 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685723 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685724 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685725 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685726 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685727 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685728 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685729 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685730 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685731 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685732 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685733 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685734 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685735 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685736 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685737 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685738 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685739 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685740 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685741 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685742 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685743 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685744 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685745 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685746 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706649207685747 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706649207685748 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685749 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685750 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685751 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685752 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706649207685753 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706649207685754 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685755 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685756 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685757 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685758 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706649207685759 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706649207685760 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685761 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685762 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685763 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685764 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706649207685765 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706649207685766 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685767 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685768 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685769 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706649207685770 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706649207685771 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706673126759680 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759681 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759682 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759683 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759684 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759685 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759686 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706673126759687 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759688 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706673126759689 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759690 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706673126759691 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759692 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706673126759693 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759694 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706673126759695 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759696 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706673126759697 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759698 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706673126759699 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759700 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706673126759701 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759702 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706673126759703 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759704 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706673126759705 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759706 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706673126759707 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759708 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706673126759709 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759710 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706673126759711 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759712 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706673126759713 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759714 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706673126759715 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759716 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759717 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759718 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759719 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759720 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759721 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706673126759722 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759723 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706673126759724 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706673126759725 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706673126759726 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759727 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706673126759728 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759729 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706673126759730 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706673126759731 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706673126759732 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759733 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706673126759734 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759735 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706673126759736 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706673126759737 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706673126759738 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759739 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706673126759740 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759741 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706673126759742 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706673126759743 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706673126759744 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759745 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706673126759746 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759747 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706673126759748 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706673126759749 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706690463825666 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706690463825668 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706690463825670 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706690463825671 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706690463825672 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706690463825673 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706690463825674 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706690463825676 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706690463825677 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706690463825678 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706690463825679 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706690463825680 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706690463825681 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706690463825682 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706690463825683 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706690463825684 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706690463825685 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706690463825686 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706690463825689 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706690463825690 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706690463825691 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706690463825692 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706690463825693 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706690463825694 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706690463825695 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706690463825696 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706690463825697 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706690463825698 ('BRV', <Side.SELL: 2>)
1712706690463825667 ('IGM', <Side.BUY: 1>) 5 5513 0
1712706690463825687 ('IGM', <Side.BUY: 1>) 2 5493 0
1712706690463825665 ('DLO', <Side.BUY: 1>) 20 4966 0
[REJECTED] 1712706707727726594 ('MKU', <Side.BUY: 1>)
1712706707727726595 ('IGM', <Side.BUY: 1>) 2 5469 27
1712706707727726596 ('BRV', <Side.BUY: 1>) 4 5366 19
[REJECTED] 1712706707727726599 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706707727726600 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706707727726601 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706707727726602 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706707727726603 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706707727726604 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706707727726605 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706707727726606 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706707727726607 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706707727726608 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706707727726609 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706707727726610 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706707727726611 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706707727726612 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706707727726613 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706707727726614 ('MKU', <Side.SELL: 2>)
1712706707727726615 ('IGM', <Side.BUY: 1>) 2 5469 7
[REJECTED] 1712706707727726619 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706707727726620 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706707727726622 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706707727726623 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706707727726624 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706707727726625 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706707727726626 ('BRV', <Side.SELL: 2>)
1712706707727726621 ('BRV', <Side.BUY: 1>) 2 5365 0
1712706707727726593 ('DLO', <Side.BUY: 1>) 13 4986 0
1712706707727726617 ('IGM', <Side.BUY: 1>) 2 5456 0
1712706707727726598 ('EPT', <Side.SELL: 2>) 2 4771 0
1712706707727726628 ('DLO', <Side.BUY: 1>) 12 4965 5
[REJECTED] 1712706728928209153 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209154 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209156 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209157 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209158 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209159 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209160 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209161 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209162 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209163 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209164 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209165 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209166 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209167 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209168 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209169 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209170 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209171 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209172 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209173 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209176 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209178 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209179 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209180 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209181 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209182 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209183 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209184 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209185 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209186 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209187 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209188 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209189 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209190 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209191 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209192 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209193 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209194 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209195 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209196 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209197 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209198 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209199 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209200 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209201 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209202 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209203 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209204 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209205 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209206 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209207 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209208 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209209 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209210 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209211 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209212 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209213 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209214 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209215 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209216 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209217 ('BRV', <Side.BUY: 1>)
