[REJECTED] 1712714554023991818 ('EPT', <Side.SELL: 2>)
1712714554023992600 ('MKU', <Side.BUY: 1>) 1 5470 23
[CANCELLED] 1712714554023992587 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992589 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992591 ('IGM', <Side.SELL: 2>)
1712714554023992601 ('IGM', <Side.BUY: 1>) 1 5805 13
[CANCELLED] 1712714554023992593 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992595 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992597 ('BRV', <Side.SELL: 2>)
1712714554023992602 ('BRV', <Side.BUY: 1>) 1 5774 68
[REJECTED] 1712714554023992608 ('EPT', <Side.SELL: 2>)
1712714554023992615 ('MKU', <Side.BUY: 1>) 2 5470 3
1712714554023992627 ('BRV', <Side.BUY: 1>) 2 5774 48
1712714554023992629 ('BRV', <Side.BUY: 1>) 2 5774 28
1712714554023992631 ('BRV', <Side.BUY: 1>) 2 5774 8
1712714554023992617 ('MKU', <Side.BUY: 1>) 2 5453 0
1712714554023992621 ('IGM', <Side.BUY: 1>) 2 5798 0
[CANCELLED] 1712714554023992598 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992603 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992604 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992605 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992606 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992607 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992609 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992610 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992611 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992612 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992613 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992614 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992616 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992618 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992619 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992620 ('MKU', <Side.SELL: 2>)
1712714554023992623 ('IGM', <Side.BUY: 1>) 2 5778 0
[CANCELLED] 1712714554023992622 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992624 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992625 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992626 ('IGM', <Side.SELL: 2>)
1712714554023992636 ('IGM', <Side.BUY: 1>) 1 5767 41
[CANCELLED] 1712714554023992628 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992630 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992632 ('BRV', <Side.SELL: 2>)
1712714554023992637 ('BRV', <Side.BUY: 1>) 1 5723 20
1712714554023992639 ('EPT', <Side.SELL: 2>) 2 4829 -7
1712714554023992656 ('IGM', <Side.BUY: 1>) 2 5767 21
1712714554023992658 ('IGM', <Side.BUY: 1>) 2 5767 1
1712714554023992662 ('BRV', <Side.BUY: 1>) 2 5723 0
1712714554023992660 ('IGM', <Side.BUY: 1>) 2 5748 0
1712714554023992641 ('EPT', <Side.SELL: 2>) 2 4842 0
1712714554023992635 ('MKU', <Side.BUY: 1>) 1 5440 0
1712714554023992664 ('BRV', <Side.BUY: 1>) 2 5703 0
[CANCELLED] 1712714554023992633 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992638 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992640 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992642 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992643 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992634 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992644 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992645 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992646 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992647 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992648 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992649 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992650 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992651 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992652 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992653 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992654 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992655 ('MKU', <Side.SELL: 2>)
1712714554023992670 ('MKU', <Side.BUY: 1>) 1 5435 6
[CANCELLED] 1712714554023992657 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992659 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992661 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992663 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992665 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992666 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992667 ('BRV', <Side.SELL: 2>)
1712714554023992672 ('BRV', <Side.BUY: 1>) 1 5692 11
1712714554023992669 ('DLO', <Side.BUY: 1>) 1 5175 0
1712714554023992671 ('IGM', <Side.BUY: 1>) 1 5705 0
[REJECTED] 1712714554023992678 ('EPT', <Side.SELL: 2>)
1712714554023992697 ('BRV', <Side.BUY: 1>) 2 5678 5
1712714554023992685 ('MKU', <Side.BUY: 1>) 2 5421 0
1712714554023992699 ('BRV', <Side.BUY: 1>) 2 5663 0
[CANCELLED] 1712714554023992668 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992673 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992674 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992675 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992676 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992677 ('EPT', <Side.BUY: 1>)
1712714554023992703 ('EPT', <Side.BUY: 1>) 1 4851 1
[CANCELLED] 1712714554023992679 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992680 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992681 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992682 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992683 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992684 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992686 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992687 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992688 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992689 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992690 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992691 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992692 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992693 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992694 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992695 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992696 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992698 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992700 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992701 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992702 ('BRV', <Side.SELL: 2>)
1712714554023992727 ('IGM', <Side.SELL: 2>) 2 5743 -2
1712714554023992733 ('BRV', <Side.SELL: 2>) 2 5699 -6
1712714554023992721 ('MKU', <Side.SELL: 2>) 2 5447 0
1712714554023992735 ('BRV', <Side.SELL: 2>) 2 5713 0
1712714554023992737 ('BRV', <Side.SELL: 2>) 2 5733 0
1712714554023992729 ('IGM', <Side.SELL: 2>) 2 5761 0
[CANCELLED] 1712714554023992708 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992709 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992710 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992711 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992712 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992713 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992704 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992714 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992715 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992716 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992717 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992718 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992719 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992705 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992720 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992722 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992723 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992724 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992725 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992706 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992726 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992728 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992730 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992731 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992707 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992732 ('BRV', <Side.BUY: 1>)
1712714554023992739 ('DLO', <Side.BUY: 1>) 1 5184 0
[CANCELLED] 1712714554023992734 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992736 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023992748 ('EPT', <Side.SELL: 2>)
1712714554023992740 ('MKU', <Side.BUY: 1>) 1 5450 0
1712714554023992762 ('IGM', <Side.SELL: 2>) 2 5771 0
1712714554023992738 ('EPT', <Side.BUY: 1>) 1 4849 0
1712714554023992764 ('IGM', <Side.SELL: 2>) 2 5791 0
[CANCELLED] 1712714554023992743 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992744 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992745 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992746 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992747 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992749 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992750 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992751 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992752 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992753 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992754 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992755 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992756 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992757 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992758 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992759 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992760 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992741 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992761 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992763 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992765 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992766 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992742 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992767 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992768 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992769 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992770 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992771 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992772 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992783 ('EPT', <Side.SELL: 2>)
1712714554023992773 ('EPT', <Side.BUY: 1>) 1 4830 0
1712714554023992797 ('IGM', <Side.SELL: 2>) 2 5810 -1
1712714554023992799 ('IGM', <Side.SELL: 2>) 2 5829 0
1712714554023992778 ('EPT', <Side.BUY: 1>) 2 4810 0
1712714554023992803 ('BRV', <Side.SELL: 2>) 2 5751 0
1712714554023992775 ('MKU', <Side.BUY: 1>) 1 5441 0
[CANCELLED] 1712714554023992779 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992780 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992781 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992782 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992774 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992784 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992785 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992786 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992787 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992788 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992789 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992790 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992791 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992792 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992793 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992794 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992795 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992776 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992796 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992798 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992800 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992801 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992777 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992802 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992804 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992805 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992806 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992807 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992818 ('EPT', <Side.SELL: 2>)
1712714554023992832 ('IGM', <Side.SELL: 2>) 2 5867 0
1712714554023992808 ('EPT', <Side.BUY: 1>) 1 4791 0
1712714554023992826 ('MKU', <Side.SELL: 2>) 2 5448 0
1712714554023992838 ('BRV', <Side.SELL: 2>) 2 5743 0
1712714554023992840 ('BRV', <Side.SELL: 2>) 2 5763 0
1712714554023992834 ('IGM', <Side.SELL: 2>) 2 5887 0
1712714554023992836 ('IGM', <Side.SELL: 2>) 2 5907 0
1712714554023992813 ('EPT', <Side.BUY: 1>) 2 4771 0
1712714554023992842 ('BRV', <Side.SELL: 2>) 2 5783 0
1712714554023992820 ('DLO', <Side.SELL: 2>) 2 5201 0
1712714554023992828 ('MKU', <Side.SELL: 2>) 2 5468 0
1712714554023992830 ('MKU', <Side.SELL: 2>) 2 5488 0
[CANCELLED] 1712714554023992814 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992815 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992816 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992817 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992809 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992819 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992821 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992822 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992823 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992824 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992810 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992825 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992827 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992829 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992811 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992831 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992833 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992835 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992812 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992837 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992839 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992841 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023992853 ('EPT', <Side.SELL: 2>)
1712714554023992843 ('EPT', <Side.BUY: 1>) 1 4753 0
1712714554023992845 ('MKU', <Side.BUY: 1>) 1 5497 0
1712714554023992847 ('BRV', <Side.BUY: 1>) 1 5850 0
1712714554023992844 ('DLO', <Side.BUY: 1>) 1 5210 0
1712714554023992860 ('MKU', <Side.BUY: 1>) 2 5477 0
1712714554023992867 ('IGM', <Side.SELL: 2>) 2 5966 0
1712714554023992848 ('EPT', <Side.BUY: 1>) 2 4733 0
[CANCELLED] 1712714554023992849 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992850 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992851 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992852 ('EPT', <Side.BUY: 1>)
1712714554023992878 ('EPT', <Side.BUY: 1>) 1 4733 1
[CANCELLED] 1712714554023992854 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992855 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992856 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992857 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992858 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992859 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992861 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992862 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992863 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992864 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992865 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992846 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992866 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992868 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992869 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992870 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992871 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992872 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992873 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992874 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992875 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992876 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992877 ('BRV', <Side.SELL: 2>)
1712714554023992908 ('BRV', <Side.SELL: 2>) 2 5872 -7
1712714554023992883 ('EPT', <Side.BUY: 1>) 2 4714 0
1712714554023992902 ('IGM', <Side.SELL: 2>) 2 5985 0
1712714554023992910 ('BRV', <Side.SELL: 2>) 2 5885 0
1712714554023992904 ('IGM', <Side.SELL: 2>) 2 6005 0
1712714554023992896 ('MKU', <Side.SELL: 2>) 2 5511 0
1712714554023992879 ('DLO', <Side.BUY: 1>) 1 5194 0
[CANCELLED] 1712714554023992884 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992885 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992886 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992887 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992888 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992890 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992891 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992892 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992893 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992894 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992880 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992895 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992897 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992898 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992899 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992900 ('MKU', <Side.SELL: 2>)
1712714554023992914 ('MKU', <Side.BUY: 1>) 1 5503 1
[CANCELLED] 1712714554023992881 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992901 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992903 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992905 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992906 ('IGM', <Side.SELL: 2>)
1712714554023992913 ('DLO', <Side.BUY: 1>) 1 5204 0
[CANCELLED] 1712714554023992882 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992907 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992909 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992911 ('BRV', <Side.BUY: 1>)
1712714554023992916 ('BRV', <Side.BUY: 1>) 1 5889 6
[REJECTED] 1712714554023992922 ('EPT', <Side.SELL: 2>)
1712714554023992929 ('MKU', <Side.BUY: 1>) 2 5484 0
1712714554023992941 ('BRV', <Side.BUY: 1>) 2 5875 0
1712714554023992912 ('EPT', <Side.BUY: 1>) 1 4702 0
1712714554023992936 ('IGM', <Side.SELL: 2>) 2 6040 0
1712714554023992938 ('IGM', <Side.SELL: 2>) 2 6060 0
1712714554023992940 ('IGM', <Side.SELL: 2>) 2 6080 0
[CANCELLED] 1712714554023992917 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992918 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992919 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992920 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992921 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992923 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992924 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992925 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992926 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992927 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992928 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992930 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992931 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992932 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992933 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992934 ('MKU', <Side.SELL: 2>)
1712714554023992949 ('MKU', <Side.BUY: 1>) 1 5479 5
[CANCELLED] 1712714554023992915 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992935 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992937 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992939 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992942 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992943 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992944 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992945 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992946 ('BRV', <Side.SELL: 2>)
1712714554023992951 ('BRV', <Side.BUY: 1>) 1 5865 15
[REJECTED] 1712714554023992957 ('EPT', <Side.SELL: 2>)
1712714554023992976 ('BRV', <Side.BUY: 1>) 2 5860 0
1712714554023992948 ('DLO', <Side.BUY: 1>) 1 5185 0
1712714554023992964 ('MKU', <Side.BUY: 1>) 2 5464 0
1712714554023992978 ('BRV', <Side.BUY: 1>) 2 5840 0
1712714554023992980 ('BRV', <Side.BUY: 1>) 2 5820 0
1712714554023992950 ('IGM', <Side.BUY: 1>) 1 6065 0
1712714554023992958 ('DLO', <Side.BUY: 1>) 2 5165 0
1712714554023992970 ('IGM', <Side.BUY: 1>) 2 6045 0
[CANCELLED] 1712714554023992947 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992952 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992953 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992954 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992955 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992956 ('EPT', <Side.BUY: 1>)
1712714554023992982 ('EPT', <Side.BUY: 1>) 1 4693 2
[CANCELLED] 1712714554023992959 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992960 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992961 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992962 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992963 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992965 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992966 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992967 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992968 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992969 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992971 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992972 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992973 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992974 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992975 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992977 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992979 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992981 ('BRV', <Side.SELL: 2>)
1712714554023993006 ('IGM', <Side.SELL: 2>) 2 6079 0
1712714554023993012 ('BRV', <Side.SELL: 2>) 2 5840 0
1712714554023993008 ('IGM', <Side.SELL: 2>) 2 6099 0
