1712538233285271811 ('DLO', 'ASK') 1 5005
1712538233285273594 ('IGM', 'ASK') 1 6297
1712538233285273595 ('BRV', 'BID') 1 5061
1712538233285273603 ('EPT', 'BID') 1 5071
1712538233285273606 ('DLO', 'ASK') 1 4960
1712538233285273608 ('MKU', 'ASK') 1 4812
1712538233285273610 ('IGM', 'ASK') 1 6312
1712538233285273611 ('BRV', 'BID') 1 5000
1712538233285273619 ('EPT', 'BID') 1 5111
1712538233285273622 ('DLO', 'ASK') 1 4957
1712538233285273624 ('MKU', 'ASK') 1 4790
1712538233285273626 ('IGM', 'ASK') 1 6313
1712538233285273627 ('BRV', 'BID') 1 4966
1712538233285273635 ('EPT', 'BID') 1 5125
1712538233285273638 ('DLO', 'ASK') 1 4934
1712538233285273640 ('MKU', 'ASK') 1 4764
1712538233285273642 ('IGM', 'ASK') 1 6291
1712538233285273643 ('BRV', 'BID') 1 4946
